name,type,address,office,phone,content
중앙도서관,교육시설,전주시 덕진구 백제대로 567 중앙도서관,중앙도서관,063-270-3456,"-4층 일반열람실(1~6열람실과 노트북 열람실, 그룹학습실) 07:00~익일 01:00) 단, 시험기간 06:00~익일01:00/연중무휴) 
  ※ 열람실 이용시간은 이용률에 따라 변경될 수 있음
-3층 인문사회자료실, 2층 과학기술자료실 평일 09:00~20:00/토요일 09:00~13:00  ※방학중평일 09:00~18:00
-1층 중도라운지 07:00~익일 01:00 (연중무휴)/ 시험기간 24시간 운영
-지하1층 연속간행물실(외국학술지지원센터) 평일 09:00~18:00
※ 전체 휴관일 : 공휴일

※ 도서관 게이트 출입 후"
중앙도서관,교육시설,전주시 덕진구 백제대로 569 중앙도서관,중앙도서관,"063-270-3456, 4404, 3405","·일반열람실 6실, 노트북열람실 1실, 그룹학습실 16실(6인 2실, 8인 9실, 10인 4실,
·그룹학습실(401호~416호)-이용시간: 1~3시간 선택 (연장불가) /이용방법 :모바일도서관 어플 /홈페이지 사전예약 후 현장 발권(예약은 7일전부터 가능/ 예약시간 10분전~20분 후 도서관 내 좌석발급기에서 현장 발권(하단참조)/ 발권 후 비밀번호 확인(발권증, 도서관 앱 참조)/ 1일 2회 이용 가능)/ 그룹학습실 별 최소사용 인원수 충족시 예약 가능(4인실, 6인실: 2명, 8인실: 3명, 10인실: 4명)/205호, 206호"
중앙도서관,교육시설,전주시 덕진구 백제대로 572 중앙도서관,중앙도서관,063)270-4405,"·인문사회자료실- [인문사회과학분야 일반도서]철학(100), 종교(200), 사회과학(300), 언어(400), 예술(700), 문학(800), 지리·역사(900), [고한적실] 학습테이블, 노트북테이블, 열람테이블, 국중/국회검색PC
·학습테이블-이용시간: 3시간 (2시간 후 1회 연장가능) /이용방법 :모바일도서관 어플, 좌석발급기 이용 /좌석수 : 104석"
중앙도서관,교육시설,전주시 덕진구 백제대로 573 중앙도서관,중앙도서관,063)270-4404,"·과학기술자료실- [과학기술분야 일반도서] 총류(000), 순수과학(500), 기술과학(600). [정보공유공간 Learning Commons(LC)], 노트북테이블, 스마트테이블, PC코너, 국중/국회검색PC, 멀티미디어 자료이용 [그룹학습실 4실] : 6인 5실, 8인 1실 [개인학습실(캐럴)] : 10실(1인실)
·PC학습테이블-이용시간: 3시간 (2시간 후 1회 연장가능) /이용방법 :모바일도서관 어플, 좌석발급기 이용 /좌석수 : 32석
스마트테이블-이용시간: 3시간 (2시간 후 1회 연장가능) /이용방법 :모바일도서관 어"
중앙도서관,교육시설,전주시 덕진구 백제대로 574 중앙도서관,중앙도서관,063)270-3459,"·중도라운지-학습/휴게 공간, 강연장, 전시갤러리 지역사회회원제/지역대학생/외부이용자 가입 신청
·PC학습테이블-이용시간: 3시간 (2시간 후 1회 연장가능) /이용방법 :모바일도서관 어플, 좌석발급기 이용 /좌석수 : 16석
·JST공유테이블-이용시간: 3시간 (2시간 후 1회 연장가능) /이용방법 :모바일도서관 어플, 좌석발급기 이용 /좌석수 : 16석
·자동반납실
·카페
·편의점
·관리사무실
·정보지원과 사무실
·멀티미디어센터
·영화 관람부스
·취업지원본부
·Blu-ray zone"
중앙도서관,교육시설,전주시 덕진구 백제대로 575 중앙도서관,중앙도서관,063)270-3458,"국내외 학술지, 국내외 연속간행물(별치서고), 외국학술지지원센터(FRIC), 학위논문, 상호대차, 원문복사, 국중/국회검색, 외국인 유학생 자료실, 큰사람 세미나실, 학술정보교육실"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2844,JBNU-BK혁신추진단 업무 총괄
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2832,"인사관리, 사업비 관리, 규정 정비"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2833,"BK21 기획·성과관리, 보고서 작성 총괄"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2859,BK21 사업 기획 및 성과 분석 지원
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-219-5546,"교육과정 운영, 국제협력, 리서치페어"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-219-5544,"국제연구협력, Pre-BK 지원, 우수연구자 포상"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-219-5545,"비교과 운영(취·창업, 정신건강 등)"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-219-5551,"장학·연구회 지원, 시스템·플랫폼 운영"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-219-5548,"시설·기자재 관리, 비교과 운영(연구역량)"
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2834,예산·결산 및 인력·인건비 관리
JBNU-BK혁신추진단,지원시설,전북 전주시 덕진구 백제대로 567,대학본부 별관 5층,063-270-2858,"서무, 사업 홍보, 회의자료 관리"
SW융합교육센터,지원시설,전북특별차지도 전주시 덕진구 백제대로 567 전북대학교 진수당 252호,진수당,063-219-5781,비SW학과 전공생들을 위한 SW융합교육을 통해 AI+X형 융합인재를 양성
SW중심대학사업단,지원시설,전북특별차지도 전주시 덕진구 백제대로 567 전북대학교 진수당 252호,진수당,063-219-5752,NULL
고창캠퍼스 관리본부,지원시설,전라북도 고창군 고창읍 태봉로 361,,063-562-5206,NULL
남원글로컬캠퍼스관리본부,지원시설,전북 남원시 춘향로 439,인문사회관 8층,063-270-4214,NULL
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-3488,"상설전시와 특별전시를 통해 전북 지역의 문화를 알리고, 다양한 문화강좌와 교육 프로그램을 제공하여 거점 국립대학박물관으로서 문화와 교육공간으로서의 역할"
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-3486,박물관 업무 총괄
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-2552,학예 연구 총괄
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-4348,행정 및 시설 대관
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-4088,문화교육
박물관,지원시설,전북 전주시 덕진구 백제대로 567,박물관,063-270-3951,고문서 및 문화교육
반도체공동연구소설립추진단,지원시설,,NULL,NULL,NULL
생활관참빛관,지원시설,전북 전주시 덕진구 창포길 93,생활관,063-270-4723,생활관
생활관새빛관,지원시설,전북 전주시 덕진구 창포길 93,생활관,063-219-7006,생활관
